
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : Tuesday, March 3, 2026 10:30:09 PM
   Source : C:\Users\arche\.gemini\tmp\simhpc\SimHPC\app\node_modules\
     Dest = D:\PROJECTS\SimHPC\app\node_modules\

    Files : *.*
	    
  Options : *.* /S /E /DCOPY:DA /COPY:DAT /XJ /R:1 /W:1 

------------------------------------------------------------------------------

	                   1	C:\Users\arche\.gemini\tmp\simhpc\SimHPC\app\node_modules\
	    New File  		  286323	.package-lock.json100%  
	  New Dir         81	C:\Users\arche\.gemini\tmp\simhpc\SimHPC\app\node_modules\.bin\
	    New File  		     379	acorn100%  
	    New File  		     320	acorn.cmd100%  
	    New File  		     785	acorn.ps1100%  
	    New File  		     407	autoprefixer100%  
	    New File  		     334	autoprefixer.cmd100%  
	    New File  		     841	autoprefixer.ps1100%  
	    New File  		     423	baseline-browser-mapping100%  
	    New File  		     342	baseline-browser-mapping.cmd100%  
	    New File  		     873	baseline-browser-mapping.ps1100%  
	    New File  		     387	browserslist100%  
	    New File  		     324	browserslist.cmd100%  
	    New File  		     801	browserslist.ps1100%  
	    New File  		     383	cssesc100%  
	    New File  		     322	cssesc.cmd100%  
	    New File  		     793	cssesc.ps1100%  
	    New File  		     387	esbuild100%  
	    New File  		     324	esbuild.cmd100%  
	    New File  		     801	esbuild.ps1100%  
	    New File  		     389	eslint100%  
	    New File  		     325	eslint.cmd100%  
	    New File  		     805	eslint.ps1100%  
	    New File  		     381	jiti100%  
	    New File  		     321	jiti.cmd100%  
	    New File  		     789	jiti.ps1100%  
	    New File  		     393	js-yaml100%  
	    New File  		     327	js-yaml.cmd100%  
	    New File  		     813	js-yaml.ps1100%  
	    New File  		     379	jsesc100%  
	    New File  		     320	jsesc.cmd100%  
	    New File  		     785	jsesc.ps1100%  
	    New File  		     381	json5100%  
	    New File  		     321	json5.cmd100%  
	    New File  		     789	json5.ps1100%  
	    New File  		     387	loose-envify100%  
	    New File  		     324	loose-envify.cmd100%  
	    New File  		     801	loose-envify.ps1100%  
	    New File  		     391	nanoid100%  
	    New File  		     326	nanoid.cmd100%  
	    New File  		     809	nanoid.ps1100%  
	    New File  		     389	node-which100%  
	    New File  		     325	node-which.cmd100%  
	    New File  		     805	node-which.ps1100%  
	    New File  		     415	parser100%  
	    New File  		     338	parser.cmd100%  
	    New File  		     857	parser.ps1100%  
	    New File  		     393	regjsparser100%  
	    New File  		     327	regjsparser.cmd100%  
	    New File  		     813	regjsparser.ps1100%  
	    New File  		     387	resolve100%  
	    New File  		     324	resolve.cmd100%  
	    New File  		     801	resolve.ps1100%  
	    New File  		     393	rollup100%  
	    New File  		     327	rollup.cmd100%  
	    New File  		     813	rollup.ps1100%  
	    New File  		     389	semver100%  
	    New File  		     325	semver.cmd100%  
	    New File  		     805	semver.ps1100%  
	    New File  		     387	sucrase100%  
	    New File  		     397	sucrase-node100%  
	    New File  		     329	sucrase-node.cmd100%  
	    New File  		     821	sucrase-node.ps1100%  
	    New File  		     324	sucrase.cmd100%  
	    New File  		     801	sucrase.ps1100%  
	    New File  		     393	tailwind100%  
